srcid,destid,ds,yhat
01,02,2024-02-21,1229.0
01,02,2024-02-22,1181.0
01,02,2024-02-23,1299.0
01,02,2024-02-24,1306.0
01,02,2024-02-25,1600.0
01,02,2024-02-26,1378.0
01,02,2024-02-27,1326.0
01,02,2024-02-28,1232.0
01,02,2024-02-29,1184.0
01,02,2024-03-01,1301.0
01,02,2024-03-02,1309.0
01,02,2024-03-03,1603.0
01,02,2024-03-04,1381.0
01,02,2024-03-05,1328.0
01,02,2024-03-06,1234.0
01,02,2024-03-07,1186.0
01,02,2024-03-08,1304.0
01,02,2024-03-09,1311.0
01,02,2024-03-10,1605.0
01,02,2024-03-11,1383.0
01,02,2024-03-12,1331.0
01,02,2024-03-13,1236.0
01,02,2024-03-14,1188.0
01,02,2024-03-15,1306.0
01,02,2024-03-16,1313.0
01,02,2024-03-17,1607.0
01,02,2024-03-18,1385.0
01,02,2024-03-19,1333.0
01,02,2024-03-20,1239.0
01,02,2024-03-21,1191.0
01,02,2024-03-22,1308.0
01,02,2024-03-23,1316.0
01,02,2024-03-24,1610.0
01,02,2024-03-25,1387.0
01,02,2024-03-26,1335.0
01,02,2024-03-27,1241.0
01,02,2024-03-28,1193.0
01,02,2024-03-29,1310.0
01,02,2024-03-30,1318.0
01,02,2024-03-31,1612.0
01,02,2024-04-01,1389.0
01,02,2024-04-02,1337.0
01,02,2024-04-03,1243.0
01,02,2024-04-04,1195.0
01,02,2024-04-05,1312.0
01,02,2024-04-06,1320.0
01,02,2024-04-07,1613.0
01,02,2024-04-08,1391.0
01,02,2024-04-09,1339.0
01,02,2024-04-10,1245.0
01,02,2024-04-11,1197.0
01,02,2024-04-12,1314.0
01,02,2024-04-13,1321.0
01,02,2024-04-14,1615.0
01,02,2024-04-15,1393.0
01,02,2024-04-16,1341.0
01,02,2024-04-17,1246.0
01,02,2024-04-18,1198.0
01,02,2024-04-19,1316.0
01,02,2024-04-20,1323.0
01,02,2024-04-21,1617.0
01,02,2024-04-22,1394.0
01,02,2024-04-23,1342.0
01,02,2024-04-24,1248.0
01,02,2024-04-25,1200.0
01,02,2024-04-26,1317.0
01,02,2024-04-27,1324.0
01,02,2024-04-28,1618.0
01,02,2024-04-29,1396.0
01,02,2024-04-30,1344.0
01,02,2024-05-01,1249.0
01,02,2024-05-02,1201.0
01,02,2024-05-03,1318.0
01,02,2024-05-04,1326.0
01,02,2024-05-05,1619.0
01,02,2024-05-06,1397.0
01,02,2024-05-07,1345.0
01,02,2024-05-08,1250.0
01,02,2024-05-09,1202.0
01,02,2024-05-10,1319.0
01,02,2024-05-11,1327.0
01,02,2024-05-12,1620.0
01,02,2024-05-13,1398.0
01,02,2024-05-14,1346.0
01,02,2024-05-15,1251.0
01,02,2024-05-16,1203.0
01,02,2024-05-17,1320.0
01,02,2024-05-18,1327.0
01,02,2024-05-19,1621.0
01,02,2024-05-20,1399.0
01,02,2024-05-21,1346.0
01,02,2024-05-22,1252.0
01,02,2024-05-23,1204.0
01,02,2024-05-24,1321.0
01,02,2024-05-25,1328.0
01,02,2024-05-26,1622.0
01,02,2024-05-27,1400.0
01,02,2024-05-28,1347.0
01,02,2024-05-29,1253.0
01,02,2024-05-30,1204.0
01,02,2024-05-31,1322.0
01,02,2024-06-01,1329.0
01,02,2024-06-02,1623.0
01,02,2024-06-03,1400.0
01,02,2024-06-04,1348.0
01,02,2024-06-05,1253.0
01,02,2024-06-06,1205.0
01,02,2024-06-07,1322.0
01,02,2024-06-08,1329.0
01,02,2024-06-09,1623.0
01,02,2024-06-10,1401.0
01,02,2024-06-11,1348.0
01,02,2024-06-12,1254.0
01,02,2024-06-13,1205.0
01,02,2024-06-14,1323.0
01,02,2024-06-15,1330.0
01,02,2024-06-16,1624.0
01,02,2024-06-17,1401.0
01,02,2024-06-18,1349.0
01,02,2024-06-19,1254.0
01,02,2024-06-20,1206.0
01,02,2024-06-21,1323.0
01,02,2024-06-22,1330.0
01,02,2024-06-23,1624.0
01,02,2024-06-24,1402.0
01,02,2024-06-25,1349.0
01,02,2024-06-26,1255.0
01,02,2024-06-27,1206.0
01,02,2024-06-28,1324.0
01,02,2024-06-29,1331.0
01,02,2024-06-30,1625.0
01,02,2024-07-01,1402.0
01,02,2024-07-02,1350.0
01,02,2024-07-03,1255.0
01,02,2024-07-04,1207.0
01,02,2024-07-05,1324.0
01,02,2024-07-06,1332.0
01,02,2024-07-07,1625.0
01,02,2024-07-08,1403.0
01,02,2024-07-09,1350.0
01,02,2024-07-10,1256.0
01,02,2024-07-11,1207.0
01,02,2024-07-12,1325.0
01,02,2024-07-13,1332.0
01,02,2024-07-14,1626.0
01,02,2024-07-15,1403.0
01,02,2024-07-16,1351.0
01,02,2024-07-17,1256.0
01,02,2024-07-18,1208.0
01,02,2024-07-19,1325.0
01,02,2024-07-20,1333.0
01,02,2024-07-21,1626.0
01,02,2024-07-22,1404.0
01,02,2024-07-23,1351.0
01,02,2024-07-24,1257.0
01,02,2024-07-25,1209.0
01,02,2024-07-26,1326.0
01,02,2024-07-27,1333.0
01,02,2024-07-28,1627.0
01,02,2024-07-29,1404.0
01,02,2024-07-30,1352.0
01,02,2024-07-31,1257.0
01,02,2024-08-01,1209.0
01,02,2024-08-02,1326.0
01,02,2024-08-03,1334.0
01,02,2024-08-04,1627.0
01,02,2024-08-05,1405.0
01,02,2024-08-06,1352.0
01,02,2024-08-07,1258.0
01,02,2024-08-08,1210.0
01,02,2024-08-09,1327.0
01,02,2024-08-10,1334.0
01,02,2024-08-11,1628.0
01,02,2024-08-12,1405.0
01,02,2024-08-13,1353.0
01,02,2024-08-14,1258.0
01,02,2024-08-15,1210.0
01,02,2024-08-16,1328.0
01,02,2024-08-17,1335.0
01,02,2024-08-18,1628.0
01,02,2024-08-19,1406.0
01,02,2024-08-20,1354.0
01,02,2024-08-21,1259.0
01,02,2024-08-22,1211.0
01,02,2024-08-23,1328.0
01,02,2024-08-24,1335.0
01,02,2024-08-25,1629.0
01,02,2024-08-26,1407.0
01,02,2024-08-27,1354.0
01,02,2024-08-28,1259.0
01,02,2024-08-29,1211.0
01,02,2024-08-30,1329.0
01,02,2024-08-31,1336.0
01,02,2024-09-01,1629.0
01,02,2024-09-02,1407.0
01,02,2024-09-03,1355.0
01,02,2024-09-04,1260.0
01,02,2024-09-05,1212.0
01,02,2024-09-06,1329.0
01,02,2024-09-07,1336.0
01,02,2024-09-08,1630.0
01,02,2024-09-09,1408.0
01,02,2024-09-10,1355.0
01,02,2024-09-11,1261.0
01,02,2024-09-12,1212.0
01,02,2024-09-13,1330.0
01,02,2024-09-14,1337.0
01,02,2024-09-15,1630.0
01,02,2024-09-16,1408.0
01,02,2024-09-17,1356.0
01,02,2024-09-18,1261.0
01,02,2024-09-19,1213.0
01,02,2024-09-20,1330.0
01,02,2024-09-21,1337.0
01,02,2024-09-22,1631.0
01,02,2024-09-23,1409.0
01,02,2024-09-24,1356.0
01,02,2024-09-25,1262.0
01,02,2024-09-26,1213.0
01,02,2024-09-27,1331.0
01,02,2024-09-28,1338.0
01,02,2024-09-29,1632.0
01,02,2024-09-30,1409.0
01,02,2024-10-01,1357.0
01,02,2024-10-02,1262.0
01,02,2024-10-03,1214.0
01,02,2024-10-04,1331.0
01,02,2024-10-05,1338.0
01,02,2024-10-06,1632.0
01,02,2024-10-07,1410.0
01,02,2024-10-08,1357.0
01,02,2024-10-09,1263.0
01,02,2024-10-10,1214.0
01,02,2024-10-11,1332.0
01,02,2024-10-12,1339.0
01,02,2024-10-13,1633.0
01,02,2024-10-14,1410.0
01,02,2024-10-15,1358.0
01,02,2024-10-16,1263.0
01,02,2024-10-17,1215.0
01,02,2024-10-18,1332.0
01,02,2024-10-19,1339.0
01,02,2024-10-20,1633.0
01,02,2024-10-21,1411.0
01,02,2024-10-22,1358.0
01,02,2024-10-23,1264.0
01,02,2024-10-24,1215.0
01,02,2024-10-25,1333.0
01,02,2024-10-26,1340.0
01,02,2024-10-27,1634.0
01,02,2024-10-28,1411.0
01,02,2024-10-29,1359.0
01,02,2024-10-30,1264.0
01,02,2024-10-31,1216.0
01,02,2024-11-01,1333.0
01,02,2024-11-02,1341.0
01,02,2024-11-03,1634.0
01,02,2024-11-04,1412.0
01,02,2024-11-05,1359.0
01,02,2024-11-06,1265.0
01,02,2024-11-07,1217.0
01,02,2024-11-08,1334.0
01,02,2024-11-09,1341.0
01,02,2024-11-10,1635.0
01,02,2024-11-11,1412.0
01,02,2024-11-12,1360.0
01,02,2024-11-13,1265.0
01,02,2024-11-14,1217.0
01,02,2024-11-15,1334.0
01,02,2024-11-16,1342.0
01,02,2024-11-17,1635.0
01,02,2024-11-18,1413.0
01,02,2024-11-19,1360.0
01,02,2024-11-20,1266.0
01,02,2024-11-21,1218.0
01,02,2024-11-22,1335.0
01,02,2024-11-23,1342.0
01,02,2024-11-24,1636.0
01,02,2024-11-25,1413.0
01,02,2024-11-26,1361.0
01,02,2024-11-27,1266.0
01,02,2024-11-28,1218.0
01,02,2024-11-29,1335.0
01,02,2024-11-30,1343.0
01,02,2024-12-01,1636.0
01,02,2024-12-02,1414.0
01,02,2024-12-03,1361.0
01,02,2024-12-04,1267.0
01,02,2024-12-05,1219.0
01,02,2024-12-06,1336.0
01,02,2024-12-07,1343.0
01,02,2024-12-08,1637.0
01,02,2024-12-09,1415.0
01,02,2024-12-10,1362.0
01,02,2024-12-11,1267.0
01,02,2024-12-12,1219.0
01,02,2024-12-13,1337.0
01,02,2024-12-14,1344.0
01,02,2024-12-15,1637.0
01,02,2024-12-16,1415.0
01,02,2024-12-17,1363.0
01,02,2024-12-18,1268.0
01,02,2024-12-19,1220.0
01,02,2024-12-20,1337.0
01,02,2024-12-21,1344.0
01,02,2024-12-22,1638.0
01,02,2024-12-23,1416.0
01,02,2024-12-24,1363.0
01,02,2024-12-25,1268.0
01,02,2024-12-26,1220.0
01,02,2024-12-27,1338.0
01,02,2024-12-28,1345.0
01,02,2024-12-29,1638.0
01,02,2024-12-30,1416.0
01,02,2024-12-31,1364.0
01,02,2025-01-01,1269.0
01,02,2025-01-02,1221.0
01,02,2025-01-03,1338.0
01,02,2025-01-04,1345.0
01,02,2025-01-05,1639.0
01,02,2025-01-06,1417.0
01,02,2025-01-07,1364.0
01,02,2025-01-08,1270.0
01,02,2025-01-09,1221.0
01,02,2025-01-10,1339.0
01,02,2025-01-11,1346.0
01,02,2025-01-12,1640.0
01,02,2025-01-13,1417.0
01,02,2025-01-14,1365.0
01,02,2025-01-15,1270.0
01,02,2025-01-16,1222.0
01,02,2025-01-17,1339.0
01,02,2025-01-18,1346.0
01,02,2025-01-19,1640.0
01,02,2025-01-20,1418.0
01,02,2025-01-21,1365.0
01,02,2025-01-22,1271.0
01,02,2025-01-23,1222.0
01,02,2025-01-24,1340.0
01,02,2025-01-25,1347.0
01,02,2025-01-26,1641.0
01,02,2025-01-27,1418.0
01,02,2025-01-28,1366.0
01,02,2025-01-29,1271.0
01,02,2025-01-30,1223.0
01,02,2025-01-31,1340.0
01,02,2025-02-01,1347.0
01,02,2025-02-02,1641.0
01,02,2025-02-03,1419.0
01,02,2025-02-04,1366.0
01,02,2025-02-05,1272.0
01,02,2025-02-06,1223.0
01,02,2025-02-07,1341.0
01,02,2025-02-08,1348.0
01,02,2025-02-09,1642.0
01,02,2025-02-10,1419.0
01,02,2025-02-11,1367.0
01,02,2025-02-12,1272.0
01,02,2025-02-13,1224.0
01,02,2025-02-14,1341.0
01,02,2025-02-15,1349.0
01,02,2025-02-16,1642.0
01,02,2025-02-17,1420.0
01,02,2025-02-18,1367.0
01,02,2025-02-19,1273.0
01,02,2025-02-20,1224.0
01,02,2025-02-21,1342.0
01,02,2025-02-22,1349.0
01,02,2025-02-23,1643.0
01,02,2025-02-24,1420.0
01,02,2025-02-25,1368.0
01,02,2025-02-26,1273.0
01,02,2025-02-27,1225.0
01,02,2025-02-28,1342.0
01,02,2025-03-01,1350.0
02,01,2023-03-01,1298.0
02,01,2023-03-02,1336.0
02,01,2023-03-03,1562.0
02,01,2023-03-04,1362.0
02,01,2023-03-05,1371.0
02,01,2023-03-06,1297.0
02,01,2023-03-07,1219.0
02,01,2023-03-08,1301.0
02,01,2023-03-09,1338.0
02,01,2023-03-10,1564.0
02,01,2023-03-11,1365.0
02,01,2023-03-12,1373.0
02,01,2023-03-13,1299.0
02,01,2023-03-14,1222.0
02,01,2023-03-15,1303.0
02,01,2023-03-16,1341.0
02,01,2023-03-17,1567.0
02,01,2023-03-18,1367.0
02,01,2023-03-19,1376.0
02,01,2023-03-20,1301.0
02,01,2023-03-21,1224.0
02,01,2023-03-22,1306.0
02,01,2023-03-23,1343.0
02,01,2023-03-24,1569.0
02,01,2023-03-25,1369.0
02,01,2023-03-26,1378.0
02,01,2023-03-27,1304.0
02,01,2023-03-28,1227.0
02,01,2023-03-29,1308.0
02,01,2023-03-30,1345.0
02,01,2023-03-31,1571.0
02,01,2023-04-01,1372.0
02,01,2023-04-02,1380.0
02,01,2023-04-03,1306.0
02,01,2023-04-04,1229.0
02,01,2023-04-05,1310.0
02,01,2023-04-06,1348.0
02,01,2023-04-07,1574.0
02,01,2023-04-08,1374.0
02,01,2023-04-09,1383.0
02,01,2023-04-10,1309.0
02,01,2023-04-11,1231.0
02,01,2023-04-12,1313.0
02,01,2023-04-13,1350.0
02,01,2023-04-14,1576.0
02,01,2023-04-15,1376.0
02,01,2023-04-16,1385.0
02,01,2023-04-17,1311.0
02,01,2023-04-18,1234.0
02,01,2023-04-19,1315.0
02,01,2023-04-20,1352.0
02,01,2023-04-21,1579.0
02,01,2023-04-22,1379.0
02,01,2023-04-23,1388.0
02,01,2023-04-24,1313.0
02,01,2023-04-25,1236.0
02,01,2023-04-26,1318.0
02,01,2023-04-27,1355.0
02,01,2023-04-28,1581.0
02,01,2023-04-29,1381.0
02,01,2023-04-30,1390.0
02,01,2023-05-01,1316.0
02,01,2023-05-02,1239.0
02,01,2023-05-03,1320.0
02,01,2023-05-04,1357.0
02,01,2023-05-05,1583.0
02,01,2023-05-06,1384.0
02,01,2023-05-07,1392.0
02,01,2023-05-08,1318.0
02,01,2023-05-09,1241.0
02,01,2023-05-10,1322.0
02,01,2023-05-11,1360.0
02,01,2023-05-12,1586.0
02,01,2023-05-13,1386.0
02,01,2023-05-14,1395.0
02,01,2023-05-15,1320.0
02,01,2023-05-16,1243.0
02,01,2023-05-17,1325.0
02,01,2023-05-18,1362.0
02,01,2023-05-19,1588.0
02,01,2023-05-20,1388.0
02,01,2023-05-21,1397.0
02,01,2023-05-22,1323.0
02,01,2023-05-23,1246.0
02,01,2023-05-24,1327.0
02,01,2023-05-25,1364.0
02,01,2023-05-26,1590.0
02,01,2023-05-27,1391.0
02,01,2023-05-28,1399.0
02,01,2023-05-29,1325.0
02,01,2023-05-30,1248.0
02,01,2023-05-31,1329.0
02,01,2023-06-01,1367.0
02,01,2023-06-02,1593.0
02,01,2023-06-03,1393.0
02,01,2023-06-04,1402.0
02,01,2023-06-05,1328.0
02,01,2023-06-06,1250.0
02,01,2023-06-07,1332.0
02,01,2023-06-08,1369.0
02,01,2023-06-09,1595.0
02,01,2023-06-10,1396.0
02,01,2023-06-11,1404.0
02,01,2023-06-12,1330.0
02,01,2023-06-13,1253.0
02,01,2023-06-14,1334.0
02,01,2023-06-15,1372.0
02,01,2023-06-16,1598.0
02,01,2023-06-17,1398.0
02,01,2023-06-18,1407.0
02,01,2023-06-19,1332.0
02,01,2023-06-20,1255.0
02,01,2023-06-21,1337.0
02,01,2023-06-22,1374.0
02,01,2023-06-23,1600.0
02,01,2023-06-24,1400.0
02,01,2023-06-25,1409.0
02,01,2023-06-26,1335.0
02,01,2023-06-27,1258.0
02,01,2023-06-28,1339.0
02,01,2023-06-29,1376.0
02,01,2023-06-30,1602.0
02,01,2023-07-01,1403.0
02,01,2023-07-02,1411.0
02,01,2023-07-03,1337.0
02,01,2023-07-04,1260.0
02,01,2023-07-05,1341.0
02,01,2023-07-06,1379.0
02,01,2023-07-07,1605.0
02,01,2023-07-08,1405.0
02,01,2023-07-09,1414.0
02,01,2023-07-10,1340.0
02,01,2023-07-11,1262.0
02,01,2023-07-12,1344.0
02,01,2023-07-13,1381.0
02,01,2023-07-14,1607.0
02,01,2023-07-15,1407.0
02,01,2023-07-16,1416.0
02,01,2023-07-17,1342.0
02,01,2023-07-18,1265.0
02,01,2023-07-19,1346.0
